GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor.new DSCFilter() {...},18,0,4,0,4,0,4,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,DSCTools,79,41,20,9,23,11,13,6,2,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor,136,0,20,0,35,0,11,0,1,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreAdapter,114,103,2,6,36,27,26,17,24,15
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicAdapter,33,81,1,3,11,19,8,9,7,8
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicSchema,2,32,0,0,1,7,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreSchema,2,25,0,0,1,6,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsUtil,2281,0,239,0,481,0,149,0,28,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaAdapter,63,558,23,79,14,152,22,53,1,23
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArrayType,10,25,0,0,1,7,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPProperty,135,164,24,14,33,40,20,17,6,12
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPParser,0,38,0,0,0,10,0,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaRegistry,0,72,0,0,0,18,0,6,0,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArray,97,320,25,43,20,69,23,27,3,13
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSerializer,78,41,9,3,17,16,7,2,1,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPComplexValue,0,3,0,0,0,1,0,1,0,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchema,9,20,0,0,2,7,2,4,2,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPConstants,0,8,0,0,0,1,0,1,0,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,Metadata,52,196,9,15,13,51,11,11,4,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPPacketParser,118,0,18,0,36,0,13,0,4,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPHandler,113,531,15,67,24,125,14,39,0,12
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPStructure,23,76,0,2,4,19,4,8,4,7
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.java2d.color.profile,NamedColorProfileParser,98,277,7,14,15,63,8,16,1,12
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.java2d.color.profile,ColorProfileUtil,82,38,7,5,19,9,10,2,4,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.java2d.color.profile,NamedColorProfile,52,43,6,0,9,13,5,5,2,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderEPS,5,49,1,3,1,13,1,4,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,CompositeImageLoader,90,70,14,8,18,13,12,5,2,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderJPEG,81,429,26,36,19,111,23,14,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageSessionContext.UnrestrictedFallbackResolver,133,92,12,18,25,34,10,8,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRendered,0,47,0,2,0,16,0,8,0,7
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImagePreloader,3,23,1,1,1,8,1,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderFactoryRaw,60,217,18,18,10,31,14,12,0,8
