Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://duckduckgo.com/,150,542,477,565,601,2772,423,2809,0.000%,.57192,1345.26,10.52
https://duckduckgo.com/-0,150,117,113,129,139,153,106,309,0.000%,.57274,25.58,0.28
https://duckduckgo.com/-1,150,49,22,121,126,150,21,151,0.000%,.57346,25.19,0.31
https://duckduckgo.com/-2,150,100,114,134,140,157,20,170,0.000%,.57325,24.83,0.30
https://duckduckgo.com/-3,150,114,115,136,147,159,21,170,0.000%,.57327,24.77,0.31
https://duckduckgo.com/-4,150,121,116,139,147,170,108,249,0.000%,.57326,25.10,0.30
https://duckduckgo.com/-5,150,127,116,140,147,169,107,1161,0.000%,.57322,25.26,0.31
https://duckduckgo.com/-6,150,83,73,94,105,128,24,1120,0.000%,.57336,2.93,0.28
https://duckduckgo.com/-7,150,116,114,136,149,167,22,172,0.000%,.57330,28.13,0.30
https://duckduckgo.com/-8,150,94,93,109,124,146,22,162,0.000%,.57323,19.39,0.30
https://duckduckgo.com/-9,150,95,93,112,125,145,22,154,0.000%,.57332,15.42,0.30
https://duckduckgo.com/-10,150,120,116,141,147,177,23,179,0.000%,.57326,49.53,0.30
https://duckduckgo.com/-11,150,94,94,108,124,146,21,153,0.000%,.57328,17.49,0.30
https://duckduckgo.com/-12,150,129,135,153,166,182,42,196,0.000%,.57346,64.43,0.30
https://duckduckgo.com/-13,150,28,22,28,89,121,20,155,0.000%,.57352,7.02,0.30
https://duckduckgo.com/-14,150,48,44,53,70,150,22,161,0.000%,.57368,79.79,0.30
https://duckduckgo.com/-15,150,44,44,50,52,65,21,138,0.000%,.57371,65.38,0.30
https://duckduckgo.com/-16,150,57,45,85,96,159,23,167,0.000%,.57366,142.06,0.31
https://duckduckgo.com/-17,150,26,22,27,71,82,20,103,0.000%,.57371,4.43,0.30
https://duckduckgo.com/-18,150,26,22,29,70,99,20,109,0.000%,.57371,5.06,0.30
https://duckduckgo.com/-19,150,29,22,51,91,110,20,130,0.000%,.57370,14.79,0.30
https://duckduckgo.com/-20,150,26,22,27,40,96,20,98,0.000%,.57352,7.85,0.30
https://duckduckgo.com/-21,150,31,22,90,93,106,20,108,0.000%,.57371,18.61,0.30
https://duckduckgo.com/-22,150,26,22,27,91,101,20,108,0.000%,.57370,7.79,0.30
https://duckduckgo.com/-23,150,25,22,26,45,87,20,108,0.000%,.57371,5.68,0.30
https://duckduckgo.com/-24,150,28,22,42,48,116,20,131,0.000%,.57371,29.15,0.30
https://duckduckgo.com/-25,150,78,67,112,179,202,25,300,0.000%,.57358,244.98,0.30
https://duckduckgo.com/-26,150,29,22,28,94,105,20,120,0.000%,.57370,17.27,0.30
https://duckduckgo.com/-27,150,34,23,49,112,118,21,125,0.000%,.57371,44.51,0.30
https://duckduckgo.com/-28,150,27,22,28,92,132,20,148,0.000%,.57371,10.61,0.30
https://duckduckgo.com/-29,150,46,43,65,133,150,22,178,0.000%,.57359,90.93,0.30
https://duckduckgo.com/-30,150,48,44,71,75,155,23,164,0.000%,.57360,144.49,0.30
https://duckduckgo.com/-31,150,27,23,43,44,117,20,120,0.000%,.57372,36.81,0.30
https://duckduckgo.com/-32,150,23,22,26,29,72,20,83,0.000%,.57372,1.55,0.31
https://duckduckgo.com/-33,150,25,22,28,43,103,20,129,0.000%,.57367,17.13,0.31
https://duckduckgo.com/-34,150,25,22,26,29,103,20,105,0.000%,.57369,5.14,0.31
https://duckduckgo.com/country.json,150,22,22,24,26,31,20,31,0.000%,.57371,1.34,0.19
https://duckduckgo.com/_next/data/n7Qdg3OtsQvQpir538MYS/about.json,150,22,22,24,26,32,20,35,0.000%,.57371,3.94,0.23
https://duckduckgo.com/_next/static/css/59622f2807445d04.css,150,39,43,46,50,58,20,79,0.000%,.57365,16.39,0.25
https://duckduckgo.com/_next/static/css/a1516ad9f13ad467.css,150,23,22,26,30,44,20,47,0.000%,.57365,16.50,0.21
"Threads: 25, Ramp-up: 25 - Load Page",25,879,575,939,2858,2917,547,2917,0.000%,1.01734,2449.92,20.28
https://duckduckgo.com/ac/?q=c&kl=wt-wt,150,61,61,66,69,93,53,139,0.000%,.57360,1.63,0.20
https://duckduckgo.com/ac/?q=cu&kl=wt-wt,150,62,61,66,70,84,53,86,0.000%,.57362,1.65,0.20
https://duckduckgo.com/ac/?q=cut&kl=wt-wt,150,63,61,68,69,241,50,247,0.000%,.57363,1.64,0.20
https://duckduckgo.com/ac/?q=cute+&kl=wt-wt,150,62,60,65,69,92,54,241,0.000%,.57360,1.65,0.20
https://duckduckgo.com/ac/?q=cute+a&kl=wt-wt,150,61,60,67,70,116,50,136,0.000%,.57360,1.67,0.20
https://duckduckgo.com/ac/?q=cute+an&kl=wt-wt,150,59,59,65,67,83,51,112,0.000%,.57376,1.68,0.20
https://duckduckgo.com/ac/?q=cute+ani&kl=wt-wt,150,59,59,65,67,77,52,111,0.000%,.57386,1.68,0.20
https://duckduckgo.com/ac/?q=cute+anim&kl=wt-wt,150,59,59,64,66,75,50,75,0.000%,.57387,1.67,0.20
https://duckduckgo.com/ac/?q=cute+anima&kl=wt-wt,150,61,58,64,65,245,51,256,0.000%,.57387,1.68,0.20
https://duckduckgo.com/ac/?q=cute+animal&kl=wt-wt,150,59,59,66,67,76,50,78,0.000%,.57388,1.68,0.20
https://duckduckgo.com/ac/?q=cute+animal+&kl=wt-wt,150,60,59,65,68,74,50,252,0.000%,.57386,1.69,0.20
https://duckduckgo.com/ac/?q=cute+animal+v&kl=wt-wt,150,61,60,66,69,77,52,81,0.000%,.57385,1.70,0.20
https://duckduckgo.com/ac/?q=cute+animal+vi&kl=wt-wt,150,61,61,68,70,77,52,79,0.000%,.57385,1.71,0.20
https://duckduckgo.com/ac/?q=cute+animal+vid&kl=wt-wt,150,61,60,65,67,79,53,85,0.000%,.57383,1.71,0.20
https://duckduckgo.com/ac/?q=cute+animal+video&kl=wt-wt,150,62,61,65,68,73,54,253,0.000%,.57382,1.71,0.20
https://duckduckgo.com/ac/?q=cute+animal+videos&kl=wt-wt,300,62,61,67,71,92,53,253,0.000%,1.03619,3.09,0.41
https://duckduckgo.com/?t=h_&q=cute+animal+videos,150,545,514,646,695,1562,330,2936,0.000%,.54696,2789.75,5.57
https://duckduckgo.com/?t=h_&q=cute+animal+videos-0,266,113,114,148,161,196,43,1187,0.000%,.97085,13.35,0.68
https://duckduckgo.com/?t=h_&q=cute+animal+videos-1,266,95,90,133,149,180,62,1212,0.000%,.97104,89.38,0.50
https://duckduckgo.com/?t=h_&q=cute+animal+videos-2,150,159,176,197,218,258,83,269,0.000%,.54813,254.02,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-3,150,147,157,184,190,233,66,239,0.000%,.54794,141.78,0.29
https://duckduckgo.com/?t=h_&q=cute+animal+videos-4,150,90,92,114,125,166,42,1168,0.000%,.54812,10.98,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-5,150,90,93,113,125,140,43,1166,0.000%,.54806,11.02,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-6,150,60,70,85,96,117,22,135,0.000%,.54814,2.58,0.31
https://duckduckgo.com/?t=h_&q=cute+animal+videos-7,150,118,115,141,147,172,22,178,0.000%,.54796,23.61,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-8,150,248,225,271,317,594,120,2458,0.000%,.54778,3.01,0.74
https://duckduckgo.com/?t=h_&q=cute+animal+videos-9,150,145,140,167,175,198,74,220,0.000%,.54793,74.18,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-10,150,142,139,168,179,200,24,203,0.000%,.54794,79.58,0.29
https://duckduckgo.com/?t=h_&q=cute+animal+videos-11,150,134,139,165,171,199,22,206,0.000%,.54803,70.30,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-12,150,135,157,181,188,197,25,225,0.000%,.54798,126.36,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-13,150,134,96,205,221,286,47,340,0.000%,.54784,410.98,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-14,150,72,47,164,178,205,25,207,0.000%,.54809,172.75,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-15,150,106,73,197,213,276,29,294,0.000%,.54789,440.81,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-16,150,63,46,175,184,228,24,241,0.000%,.54806,241.41,0.28
https://duckduckgo.com/?t=h_&q=cute+animal+videos-17,150,94,66,207,226,248,44,254,0.000%,.54787,630.69,0.28
"Threads: 25, Ramp-up: 25 - Search Cute Animal Videos",25,1497,1487,1616,1645,1661,1327,1661,0.000%,1.00245,5159.34,15.93
https://duckduckgo.com/ac/?q=fvideos&kl=wt-wt,150,60,60,65,68,81,52,90,0.000%,.54867,1.58,0.23
https://duckduckgo.com/ac/?q=funvideos&kl=wt-wt,150,62,61,67,69,95,52,253,0.000%,.54868,1.61,0.23
https://duckduckgo.com/ac/?q=funny+videos&kl=wt-wt,150,60,60,66,70,83,50,106,0.000%,.54866,1.60,0.23
https://duckduckgo.com/?q=funny+videos&t=h_,150,349,325,400,433,1308,24,2662,2.000%,.54004,55.05,6.13
https://duckduckgo.com/?q=funny+videos&t=h_-0,271,113,115,150,163,177,42,223,0.000%,.97576,16.34,0.69
https://duckduckgo.com/?q=funny+videos&t=h_-1,271,32,22,71,80,115,20,148,0.000%,.97618,2.33,0.55
https://duckduckgo.com/?q=funny+videos&t=h_-2,149,51,68,82,96,111,19,114,0.671%,.53703,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-3,149,60,70,83,99,118,21,143,0.000%,.53703,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-4,149,80,92,110,122,135,21,168,0.000%,.53695,9.28,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-5,149,80,91,111,122,135,22,136,0.000%,.53699,9.26,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-6,149,61,70,85,100,113,21,114,0.000%,.53701,2.44,0.31
https://duckduckgo.com/?q=funny+videos&t=h_-7,149,81,71,91,114,125,21,1114,0.000%,.53700,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-8,149,161,147,187,232,526,83,561,0.000%,.53686,2.63,0.74
https://duckduckgo.com/?q=funny+videos&t=h_-9,149,75,72,95,114,125,21,130,0.000%,.53704,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-10,149,77,72,95,112,123,21,135,0.000%,.53699,1.24,0.33
https://duckduckgo.com/?q=funny+videos&t=h_-11,149,67,70,94,104,126,20,134,0.000%,.53702,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-12,149,63,71,86,102,113,21,118,0.671%,.53709,1.25,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-13,149,48,29,83,89,110,20,111,0.000%,.53697,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-14,149,29,22,69,74,92,20,104,0.000%,.53708,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-15,149,27,22,41,72,104,20,105,0.000%,.53713,1.25,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-16,149,30,22,70,71,107,20,129,0.000%,.53709,1.24,0.32
https://duckduckgo.com/?q=funny+videos&t=h_-17,149,30,22,70,74,92,20,130,0.000%,.53710,1.25,0.32
"Threads: 25, Ramp-up: 25 - Search ""Funny Videos""",25,571,572,618,627,693,490,693,0.000%,.67648,76.33,8.95
"Threads: 50, Ramp-up: 50 - Load Page",50,595,587,658,668,718,518,718,0.000%,1.00691,2435.03,20.07
"Threads: 50, Ramp-up: 50 - Search Cute Animal Videos",50,1461,1446,1586,1610,1643,1284,1643,0.000%,.98904,5090.19,15.72
"Threads: 50, Ramp-up: 50 - Search ""Funny Videos""",50,630,551,668,709,2950,454,2950,4.000%,.83292,93.90,10.66
"Threads: 75, Ramp-up: 75 - Load Page",75,609,589,673,691,775,512,1364,0.000%,.97574,2363.73,19.45
"Threads: 75, Ramp-up: 75 - Search Cute Animal Videos",75,1581,1512,1718,1759,2531,1277,3956,0.000%,.93529,4814.87,14.64
"Threads: 75, Ramp-up: 75 - Search ""Funny Videos""",75,582,584,658,680,897,437,956,1.333%,.83489,95.64,10.99
TOTAL,15608,108,64,162,390,1327,19,3956,0.051%,49.13429,10823.74,66.00
