Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://gibiru.com/,150,678,574,704,910,3296,483,3326,0.667%,.63944,2260.08,14.52
https://gibiru.com/-0,300,103,98,123,127,141,35,1163,0.000%,1.28095,13.06,0.64
https://gibiru.com/-1,300,115,109,195,203,255,21,590,0.000%,1.28284,89.76,0.65
https://gibiru.com/-2,300,81,83,103,110,206,22,481,0.000%,1.28321,9.90,0.65
https://gibiru.com/-3,300,94,86,108,119,238,27,1157,0.000%,1.28322,8.83,0.66
https://gibiru.com/-4,300,140,130,164,178,307,37,1158,0.000%,1.28291,51.35,0.68
https://gibiru.com/-5,300,203,222,290,312,576,47,1354,0.000%,1.28285,155.16,2.30
https://gibiru.com/-6,150,234,224,260,273,369,174,1266,0.000%,.64165,304.13,0.35
https://gibiru.com/-7,150,165,164,187,196,234,86,261,0.000%,.64171,61.09,0.33
https://gibiru.com/-8,150,89,86,106,124,183,31,185,0.667%,.64198,6.66,0.34
https://gibiru.com/-9,150,105,89,122,139,563,28,1111,0.000%,.64198,6.95,0.35
https://gibiru.com/-10,150,224,221,253,270,690,89,770,0.000%,.64194,296.71,0.36
https://gibiru.com/-11,150,161,156,202,239,307,82,323,0.000%,.64196,396.14,0.36
https://gibiru.com/-12,150,145,145,184,217,278,40,305,0.000%,.64202,292.87,0.36
https://gibiru.com/-13,150,138,107,229,260,430,38,524,0.000%,.64230,297.25,0.36
https://gibiru.com/-14,150,84,102,133,135,300,22,340,0.000%,.64251,18.95,0.34
https://gibiru.com/-15,150,83,41,146,154,639,21,1174,0.000%,.64217,28.18,0.33
https://gibiru.com/-16,150,39,27,83,92,156,20,282,0.000%,.64251,5.44,0.36
https://gibiru.com/-17,150,34,27,36,114,162,21,167,0.000%,.64249,10.90,0.35
https://gibiru.com/-18,150,31,27,35,48,153,20,192,0.000%,.64230,11.01,0.35
https://gibiru.com/-19,150,31,26,35,50,128,20,144,0.000%,.64251,11.90,0.36
https://gibiru.com/-20,150,36,28,52,82,166,22,181,0.000%,.64249,30.27,0.35
https://gibiru.com/-21,150,31,27,38,52,158,21,173,0.000%,.64248,30.41,0.36
https://gibiru.com/-22,150,35,28,44,59,163,21,462,0.000%,.64245,37.00,0.33
https://gibiru.com/-23,150,42,30,74,84,224,23,271,0.000%,.64246,53.46,0.35
https://gibiru.com/-24,150,30,27,33,36,118,21,171,0.000%,.64246,7.33,0.34
https://gibiru.com/-25,150,31,28,42,49,129,20,156,0.000%,.64252,16.81,0.34
https://gibiru.com/-26,150,27,26,31,34,67,21,128,0.000%,.64249,7.18,0.34
https://gibiru.com/-27,150,38,29,54,77,216,21,231,0.000%,.64248,54.92,0.32
https://gibiru.com/-28,150,37,29,61,77,166,22,210,0.000%,.64240,44.90,0.33
https://gibiru.com/-29,150,32,26,30,46,164,21,337,0.000%,.64254,1.97,0.33
https://gibiru.com/-30,150,30,27,34,36,118,21,233,0.000%,.64255,10.75,0.33
https://gibiru.com/-31,150,33,27,38,46,166,21,195,0.000%,.64249,14.62,0.32
https://gibiru.com/-32,150,29,26,31,37,100,21,149,0.000%,.64252,4.47,0.33
https://gibiru.com/-33,150,27,26,30,32,82,20,84,0.000%,.64253,0.81,0.35
https://gibiru.com/-34,150,29,27,31,33,122,20,152,0.000%,.64257,5.20,0.34
https://gibiru.com/-35,150,28,26,30,33,81,20,124,0.000%,.64256,4.04,0.35
https://gibiru.com/-36,150,26,26,30,32,48,20,51,0.000%,.64252,1.29,0.33
https://gibiru.com/-37,150,28,27,33,39,47,20,106,0.000%,.64253,12.75,0.36
"Threads: 25, Ramp-up: 25 - Load Page",25,932,582,1159,3296,3326,508,3326,0.000%,1.02112,3575.34,23.20
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8,149,451,394,475,569,1908,334,1915,0.671%,.62131,69.59,5.88
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-0,149,205,203,218,223,283,187,301,0.000%,.62181,5.37,0.36
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-1,149,27,27,31,33,84,21,96,0.000%,.62225,0.33,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-2,149,28,27,32,33,89,21,91,0.000%,.62225,0.33,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-3,149,29,28,32,34,93,22,98,0.000%,.62225,0.33,0.39
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-4,149,28,27,30,33,83,21,93,0.000%,.62226,0.33,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-5,149,28,27,31,33,82,21,96,0.000%,.62226,0.33,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-6,149,35,33,38,41,121,22,133,0.000%,.62223,9.63,0.32
