Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://www.mojeek.com/,150,751,788,830,875,920,625,1070,0.000%,.79560,378.13,2.39
https://www.mojeek.com/-0,150,256,254,264,266,278,243,461,0.000%,.79791,5.72,0.39
https://www.mojeek.com/-1,150,480,533,570,601,639,300,664,0.000%,.79774,277.41,0.40
https://www.mojeek.com/-2,150,176,235,246,249,257,74,260,0.000%,.79973,3.99,0.40
https://www.mojeek.com/-3,150,211,237,248,251,263,74,271,0.000%,.79901,3.96,0.40
https://www.mojeek.com/-4,150,406,398,463,466,484,229,485,0.000%,.79835,68.13,0.41
https://www.mojeek.com/-5,150,316,317,329,330,346,160,358,0.000%,.79870,20.04,0.40
"Threads: 25, Ramp-up: 25 - Load Page",25,803,813,894,920,1070,661,1070,0.000%,1.01548,482.64,3.05
https://www.mojeek.com/search?q=cute+animal+videos,150,250,238,257,794,818,75,909,90.667%,.75110,5.30,0.66
https://www.mojeek.com/search?q=cute+animal+videos-0,14,386,402,417,417,494,238,494,0.000%,.07024,1.48,0.04
https://www.mojeek.com/search?q=cute+animal+videos-1,14,160,83,246,246,247,75,247,0.000%,.07039,0.05,0.04
https://www.mojeek.com/search?q=cute+animal+videos-2,14,145,80,240,240,240,74,240,0.000%,.07033,0.05,0.04
https://www.mojeek.com/search?q=cute+animal+videos-3,14,205,237,243,243,249,77,249,0.000%,.07033,0.05,0.04
https://www.mojeek.com/search?q=cute+animal+videos-4,14,217,239,251,251,251,79,251,0.000%,.07034,0.05,0.04
https://www.mojeek.com/search?q=cute+animal+videos-5,14,205,237,246,246,250,76,250,0.000%,.07034,0.05,0.04
https://www.mojeek.com/search?q=cute+animal+videos-6,14,353,391,404,404,405,154,405,0.000%,.07028,3.15,0.04
https://www.mojeek.com/search?q=cute+animal+videos-7,14,239,238,244,244,247,235,247,0.000%,.07033,0.12,0.04
"Threads: 25, Ramp-up: 25 - Search ""Cute Animal Videos""",25,315,239,783,818,909,75,909,80.000%,1.08197,15.78,1.40
https://www.mojeek.com/search?q=funny+videos,14,426,249,774,774,818,237,818,57.143%,.07104,0.80,0.16
"Threads: 25, Ramp-up: 25 - Search ""Funny Videos""",5,454,402,559,818,818,245,818,40.000%,.14437,2.25,0.43
https://www.mojeek.com/search?q=funny+videos-0,6,377,405,447,488,488,246,488,0.000%,.03369,0.70,0.02
https://www.mojeek.com/search?q=funny+videos-1,6,106,80,81,242,242,79,242,0.000%,.03377,0.02,0.02
https://www.mojeek.com/search?q=funny+videos-2,6,131,81,235,236,236,77,236,0.000%,.03374,0.02,0.02
https://www.mojeek.com/search?q=funny+videos-3,6,159,79,242,244,244,75,244,0.000%,.03374,0.02,0.02
https://www.mojeek.com/search?q=funny+videos-4,6,159,80,243,244,244,77,244,0.000%,.03374,0.02,0.02
https://www.mojeek.com/search?q=funny+videos-5,6,160,81,244,248,248,77,248,0.000%,.03374,0.02,0.02
https://www.mojeek.com/search?q=funny+videos-6,6,159,80,241,243,243,78,243,0.000%,.03374,0.02,0.02
https://www.mojeek.com/search?q=funny+videos-7,6,213,233,245,253,253,77,253,0.000%,.03374,0.02,0.02
"Threads: 50, Ramp-up: 50 - Load Page",50,757,793,828,845,894,625,894,0.000%,1.04714,497.69,3.14
"Threads: 50, Ramp-up: 50 - Search ""Cute Animal Videos""",50,256,239,252,794,815,75,815,90.000%,1.04780,7.89,0.95
"Threads: 50, Ramp-up: 50 - Search ""Funny Videos""",5,341,238,249,745,745,237,745,80.000%,.10701,0.59,0.14
"Threads: 75, Ramp-up: 75 - Load Page",75,731,778,811,830,875,625,879,0.000%,1.00267,476.55,3.01
"Threads: 75, Ramp-up: 75 - Search ""Cute Animal Videos""",75,224,237,244,265,796,75,799,94.667%,1.01236,4.29,0.73
"Threads: 75, Ramp-up: 75 - Search ""Funny Videos""",4,499,257,774,774,774,242,774,50.000%,.13222,1.73,0.34
TOTAL,1688,370,261,790,810,879,74,1070,17.062%,7.98860,1029.14,8.36
